latitude;longitude;stationname;depth;red;green;blue
54.166;6.364;station031_id316067;36.8;1;1;0
54.333;5.67;station031_id328595;42.4;1;1;0
56;7.801;station031_id341016;27.3;1;1;0
54.164;6.35;station031_id341141;36;1;1;0
54.182;7.433;station031_id341200;38.3;1;1;0
55.399;4.753;station031_id341260;45.9;1;1;0
54.33;6.778;station032_id328596;39.2;1;1;0
53.675;6.497;station032_id341134;22.4;1;1;0
54.25;8.104;station032_id341201;17.8;1;1;0
55.768;4.252;station032_id341261;40.8;1;1;0
54.667;6.25;station033_id316042;42;1;1;0
54.168;6.335;station033_id328597;36;1;1;0
56.002;5.998;station033_id341019;48.2;1;1;0
53.942;7.4;station033_id341135;25.5;1;1;0
54.226;8.383;station033_id341202;15.9;1;1;0
55.917;3.352;station033_id341262;70.2;1;1;0
53.94;6.198;station034_id328598;29.8;1;1;0
56.001;5;station034_id341021;43.6;1;1;0
54.179;7.434;station034_id341136;38.3;1;1;0
54.5;8.198;station034_id341203;16.3;1;1;0
55.5;4;station034_id341263;33;1;1;0
53.941;6.783;station035_id328599;27;1;1;0
55.999;3.003;station035_id341023;74.4;1;1;0
53.942;7.401;station035_id341204;27;1;1;0
55;5.002;station035_id341264;42.6;1;1;0
53.673;6.502;station036_id328600;23.2;1;1;0
56;2.002;station036_id341025;86.5;1;1;0
53.849;7.996;station036_id341205;17.8;1;1;0
54.999;5.501;station036_id341265;40;1;1;0
55;6.32;station037_id316068;42.5;1;1;0
53.799;7.165;station037_id328601;22.2;1;1;0
56.001;0.999;station037_id341027;78;1;1;0
53.999;8.105;station037_id341206;25.6;1;1;0
54.668;5.5;station037_id341266;43.5;1;1;0
55.383;6.254;station038_id316047;51;1;1;0
53.944;7.402;station038_id328602;27.6;1;1;0
56.001;-0.002;station038_id341029;84.3;1;1;0
54.668;5.004;station038_id341267;43.6;1;1;0
55.51;5.752;station039_id316048;55;1;1;0
53.848;7.998;station039_id328603;17.3;1;1;0
55.999;-1;station039_id341031;65.2;1;1;0
54.336;5.67;station039_id341268;41.9;1;1;0
55.251;5.504;station040_id316049;47;1;1;0
54.05;7.968;station040_id341209;32;1;1;0
53.944;6.2;station040_id341269;29.3;1;1;0
55.401;4.746;station041_id316050;47.6;1;1;0
54.084;7.834;station041_id341210;44.5;1;1;0
53.672;6.498;station041_id341270;21.7;1;1;0
55.767;4.251;station042_id316051;39.6;1;1;0
57;-0.997;station042_id341037;72.6;1;1;0
53.799;7.168;station042_id341271;21.9;1;1;0
55.916;3.353;station043_id316052;70.6;1;1;0
57;1.388;station043_id341039;103.4;1;1;0
53.883;8.717;station043_id341212;-1;1;1;0
55.5;4;station044_id316053;32.4;1;1;0
57;3.498;station044_id341041;64.5;1;1;0
57;5.004;station045_id341043;59.5;1;1;0
55;4.998;station046_id316055;41.2;1;1;0
57.001;5.998;station046_id341045;51.6;1;1;0
55;5.499;station047_id316056;42.5;1;1;0
54.668;5.5;station048_id316057;44.5;1;1;0
56.999;8.001;station048_id341048;33.5;1;1;0
54.667;5.001;station049_id316058;46.9;1;1;0
54.334;5.671;station050_id316059;42;1;1;0
57.999;5.998;station050_id341052;306.1;1;1;0
53.942;6.198;station051_id316060;32.2;1;1;0
58.001;5.002;station051_id341054;128.5;1;1;0
58;3.004;station052_id341056;76.3;1;1;0
53.674;6.504;station053_id316062;23.1;1;1;0
57.999;1.499;station053_id341058;105.3;1;1;0
53.801;7.166;station054_id316063;23.1;1;1;0
58;-0.993;station054_id341060;112.9;1;1;0
53.848;7.998;station055_id316064;18.1;1;1;0
59.002;-1.496;station063_id341072;106.4;1;1;0
59;-0.001;station064_id341074;132.3;1;1;0
59;0.994;station065_id341076;125.3;1;1;0
58.999;3;station066_id341078;136.8;1;1;0
59.001;4.503;station067_id341080;260.3;1;1;0
60.001;4.5;station068_id341082;261.6;1;1;0
60.001;2;station069_id341084;101.4;1;1;0
60;-0.501;station070_id341086;125;1;1;0
60.999;3.997;station078_id341102;350;1;1;0
54.268;7.192;station8a_id392814;37;1;1;0
54.2433;8.495;220054;-1;0;1;1
54.375;8.5117;220055;-1;0;1;1
54.7133;8.2833;220057;-1;0;1;1
54.905;8.275;220058;-1;0;1;1
54.7883;8.4417;220061;-1;0;1;1
54.67;8.5767;220062;-1;0;1;1
54.495;8.7233;220063;-1;0;1;1
54.4267;8.85;220064;-1;0;1;1
55.0133;8.1167;220067;-1;0;1;1
54.6657;7.832;AMRU2;-1;0;1;1
51.9755;2.0731;Anglia_AnOpenSea_wa;-1;1;1;0
51.5216;1.0223;Anglia_Essex_wa;-1;0;1;0
53.335;6.944;BOCHTVWTM;-1;0;1;1
53.379;5.1672;BOOMKDP;-1;0;1;1
53.4012;5.727;DANTZGT;-1;0;1;1
53.0528;5.0323;DOOVBWT;-1;0;1;1
53.6717;6.4983;ES1;-1;0;1;1
57.395;-1.7958;EScotland_BuchanNess_wa;-1;0;0;1
57.57;-1.8448;EScotland_CairnbulgPoint_wa;-1;0;0;1
55.9047;-2.3767;EScotland_EScIntermediate_wa;-1;0;1;1
56.0742;-1.742;EScotland_EScOpenSea_wa;-1;0;1;0
57.801;-1.7522;Fladen_FlaOpenSea_wa;-1;1;1;0
56.0487;-3.0457;Forth_FirthFInnerOffshore_wa;-1;0;0;1
53.3043;7.1567;GROOTGND;-1;0;1;1
54.2488;8.0995;HELGO;-1;0;1;1
54.0835;7.8333;HLOCH;-1;0;1;1
54.0502;7.967;HPAE3;-1;0;1;1
53.5592;6.6612;HUIBGOT;-1;0;1;1
53.5305;1.0532;HumWash_HWOpenSeaS_wa;-1;0;1;0
53.8747;8.7155;MEDEM;-1;1;0;1
57.7353;-3.385;MorayF_MoFIntermediateS_wa;-1;0;1;0
57.8968;-3.1372;MorayF_MoFOpenSea_wa;-1;0;1;1
57.6473;-3.9013;MorayF_MorayFirthOffshor_wa;-1;0;1;0
54.1025;8.4617;N3.11;-1;0;1;1
54.5917;8.3917;N3.6a;-1;0;1;1
55.085;8.28;N3.9;-1;0;1;1
54.3328;5.6677;NEFB;-1;0;1;1
54.33;6.7775;NGW8;-1;0;1;1
52.3015;4.3012;NOORDWK10;-1;0;1;1
52.2607;4.4047;NOORDWK2;-1;0;1;1
52.341;4.1735;NOORDWK20;-1;0;1;1
52.5855;3.53;NOORDWK70;-1;0;1;1
53.7992;7.1653;NORDE;-1;0;1;1
54.6813;6.7825;NSB3;-1;0;1;1
54.9982;5.4988;NSGR2;-1;0;1;1
53.5655;6.5628;ROTTMPT3;-1;0;1;1
53.9533;6.3087;ROTTMPT50;-1;0;0;1
54.1175;6.2127;ROTTMPT70;-1;0;0;1
54.6665;5.4997;SWWBA;-1;0;1;1
54.9985;7.9998;SYLT1;-1;0;1;1
53.4605;5.0993;TERSLG10;-1;0;1;1
54.1488;4.3405;TERSLG100;-1;0;1;1
54.415;4.0397;TERSLG135;-1;0;1;1
54.7185;3.6902;TERSLG175;-1;1;0;1
55.1717;3.156;TERSLG235;-1;1;0;1
53.7668;4.7655;TERSLG50;-1;0;1;1
54.4995;8.198;UE28;-1;0;1;1
54.9998;6.7813;URST3;-1;0;1;1
55.2812;6.7752;URST4;-1;0;1;1
53.3133;5.1598;VLIESM;-1;0;1;1
51.375;3.1875;W01;-1;0;0;1
51.225;2.8583;W02;-1;0;0;1
51.1683;2.6667;W03;-1;0;0;1
51.4183;3.2525;W04;-1;1;0;1
51.4167;2.8083;W05;-1;0;0;1
51.2633;2.4683;W06;-1;0;0;1
51.5833;3.0083;W07;-1;0;0;1
51.4583;2.35;W08;-1;1;0;1
51.75;2.7;W09;-1;1;0;1
51.6833;2.4167;W10;-1;1;0;1
51.6578;3.2192;WALCRN20;-1;0;1;1
51.9562;2.6777;WALCRN70;-1;0;1;1
54.0933;8.335;Westl. Suederpiep;-1;0;1;1
54.26667;13.516671;GB2;0.0;0;1;0
54.20667;13.566671;GB19;0.0;0;1;0
54.313;11.567;TF12;0.0;0;1;0
55;14.083;TF109;0.0;0;1;0
54.925;13.5;TF113;0.0;0;1;0
54.6;10.45;TF360;0.0;0;1;0
54.658;10.767;TF361;0.0;0;1;0
54.40;12.88;DB2;0;0;1;0
54.84;9.83;225003;0;0;1;0
56.0442408670239;10.3913419386264;arh180002;17.680303030303;1;0;0
55.8893;10.6322;arh220301;5.34124629080119;1;0;0
56.0181825136612;10.2424397540984;arh250033;1.06976744186047;1;0;0
56.6678875631517;12.1175431366226;dmu_413;56.8462967008958;1;0;0
55.6743974148178;10.0903732270206;dmu_547;19.6103454447825;1;0;0
55.9978;11.8572;frb1993;10.7531743573862;1;0;0
55.8673451540292;12.7499267155444;kbh_431;50.4140553894162;1;0;0
56.1302519203856;11.1579507075105;vsj_20925;46.7503332549204;1;0;0
